HOUSEHOLD,PERNUM,RELATE,TYPE,AGE,SEX
1,1,1,head,43,1
1,2,2,spouse,38,2
1,3,3,child,17,2
1,4,3,child,14,2
1,5,3,child,11,1
1,6,3,child,8,2
1,7,3,child,7,2
1,8,3,child,5,2
1,9,3,child,1,2
2,1,1,head,59,1
2,2,2,spouse,55,2
2,3,3,child,29,1
2,4,3,child,25,1
2,5,3,child,21,1
2,6,3,child,18,2
2,7,3,child,15,2
2,8,3,child,12,2
3,1,1,head,39,1
3,2,2,spouse,28,2
3,3,3,child,7,1
3,4,3,child,5,2
3,5,3,child,3,1
3,6,3,child,0,2
3,7,6,parent-in-law,53,2
